新系统-智书,,,,,,,旧系统-泛微（赛事）,,,,旧系统-泛微（MCN）,,,,,,,,,,,,,,,,,,,,,
模块,流程/台账,表名,字段名,是否必填,字段枚举值,备注,表名,字段名,字段枚举值,备注,表名,字段名,字段枚举值,备注,,,,,,,,,,,,,,,,,,
数据范围说明：仅迁移合同状态是归档的合同，审批中的合同需要在6/25下班前尽可能流程归档，未归档的需要在新系统重新发起审批流程（未归档也要迁移）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合同管理,一般流程,字段模板（主表）,泛微项目编号,,,,合同审批台账_基本信息,项目编号,,保留原泛微项目编号,合同库_一般合同,项目编号,,,,,,,,,,,,,,,,,,,,
合同管理,一般流程,字段模板（主表）,泛微合同剩余付款金额,,,按合同币种,合同审批台账_基本信息,,,合同支出金额-（合同付款3个tab的预付金额+费用金额+无票付款金额）,合同库_一般合同,合同预计收入-合同已收金额,,,,,,,,,,,,,,,,,,,,
合同管理,一般流程,字段模板（主表）,泛微合同剩余收款金额,,,按合同币种,合同审批台账_基本信息,,,合同收入金额-关联合同编号的应收开票申请,合同库_一般合同,合同预计支出-合同已付金额,,,,,,,,,,,,,,,,,,,,
合同管理,一般流程,字段模板（主表）,泛微原合同编号,,,,合同审批台账_基本信息,合同编号,,,合同库_一般合同,合同编号,,,,,,,,,,,,,,,,,,,,
合同管理,一般流程,字段模板（主表）,一级合同类型,,,根据合同二级类型映射：合同数据迁移-二级分类映射规则 ,,,,,,,,,,,,,,,,,,,,,,,,,,
合同管理,一般流程,字段模板（主表）,二级合同类型,Y,,合同二级类型规则参考：合同数据迁移-二级分类映射规则 ,合同审批台账_基本信息,,,"需提前进行数据操作：
1. 所有个人合作相关合同，直接归类于“单次支出-个人合作支出”
2. 所有奖金/补贴相关合同，直接类于“单次支出-奖金补贴支出”
3. 所有成本中心在全球事业群/海外业务平台的，根据收入支出类型，归类于对应“海外赛事及活动”
4. 所有成本中心在资管/资产技术平台的，根据收入支出类型，归类于“资产采购租赁及经营”",,,,,,,,,,,,,,,,,,,,,,
合同管理,一般流程,字段模板（主表）,疑似二级分类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合同管理,一般流程,字段模板（主表）,contract_name(合同名称),Y,,,合同审批台账_基本信息,合同名称,,,合同库_一般合同,合同标题,,,,,,,,,,,,,,,,,,,,
合同管理,一般流程,字段模板（主表）,contract_number（合同编码）,Y,,按新编码规则生成或保留历史编号,合同审批台账_基本信息,合同编号,,,合同库_一般合同,合同编号,,,,,,,,,,,,,,,,,,,,
合同管理,一般流程,字段模板（主表）,custom_1001_948719050bfe402ab083c98e52fa71b2（合同执行人）飞书user_id,Y,,飞书user id,合同审批台账_基本信息,合同执行人,,飞书user id,合同库_一般合同,合同执行人员,,飞书user id,,,,,,,,,,,,,,,,,,
合同管理,一般流程,字段模板（主表）,custom_1001_948719050bfe402ab083c98e52fa71b2（合同执行人）,,,姓名,,合同执行人,,,,,,,,,,,,,,,,,,,,,,,,
合同管理,一般流程,字段模板（主表）,contractCategory(智书框架合同类型),Y,,找到合同的关联框架合同编号、关联框架协议，再关联出框架合同的合同类型,合同审批台账_合同审批,框架合同编号的合同类型,,,合同库_一般合同,关联框架协议的合同类型,,,,,,,,,,,,,,,,,,,,
合同管理,一般流程,字段模板（主表）,custom_13_c9805a6fe9f245ebbfeea13407277306（是否需要验收）,Y,,"根据专项分类带出。
专项分类要映射为新的专项分类，参考预算项&项目类型底稿 ：原二级分类对应泛微的专项分类字段，二级分类（终版）对应新专项分类，需要将二级分类（终版）的-英文后缀去除；是否验收见预算项&项目类型底稿 中全量预算与专项分类底稿中“是否存在验收“一列",合同审批台账_基本信息,专项分类,,,合同库_一般合同,专项分类,,,,,,,,,,,,,,,,,,,,
合同管理,一般流程,字段模板（主表）,pay_type_code（收支类型）,Y,,"收入类
支出类
既收又支
无金额",合同审批台账_基本信息,合同类型,,"根据编号判断：
收入类：H-DS/H-KS/H-OS/H-S
支出类：H-DF/H-KF/H-OF/H-F
既收又支：H-DJ/H-KJ/H-N
无金额：H-P/H-PZ/H-Q",合同库_一般合同,,,根据编号判断：                            收入类：主体缩写-S                        支出类：主体缩写-F                       其他类型：主体缩写-O                  ,,,,,,,,,,,,,,,,,,
合同管理,一般流程,字段模板（主表）,property_type_code（计价方式）,Y,,默认固定总价,,无,,默认固定总价,,无,,,,,,,,,,,,,,,,,,,,
合同管理,一般流程,字段模板（主表）,amount（合同总额）,Y,,"""固定总价""时，则需要填写【合同总额】，收入合同则等于收入金额，支出合同则等于支出金额，收支合同留空，若补充后收入or支出总金额有值则取补充后的",合同审批台账_基本信息,收入金额或支出金额，都有怎么处理？,,"收入合同=收入总金额（含补充）
支出合同=支出总金额（含补充）
收支合同最好是分列收支，具体以财务确认为准",合同库_一般合同,合同金额,,具体以财务确认为准,,,,,,,,,,,,,,,,,,
合同管理,一般流程,字段模板（主表）,estimated_amount（预估金额）,,,,,无,,,合同库_一般合同,无,,,,,,,,,,,,,,,,,,,,
合同管理,一般流程,字段模板（主表）,fixed_validity_code（合同期限类型）,Y,,默认固定期限,,,,默认固定期限,合同库_一般合同,,,默认固定期限,,,,,,,,,,,,,,,,,,
合同管理,一般流程,字段模板（主表）,start_date（合同期限-开始日期）,Y,,,合同审批台账_基本信息,合同周期开始日期,,,合同库_一般合同,合同周期开始日期,,,,,,,,,,,,,,,,,,,,
合同管理,一般流程,字段模板（主表）,end_date（合同期限-结束日期）,Y,,,合同审批台账_基本信息,合同周期结束日期,,,合同库_一般合同,合同周期结束日期,,,,,,,,,,,,,,,,,,,,
合同管理,一般流程,字段模板（主表）,remark（合同说明）,Y,,,合同审批台账_基本信息,合同摘要,,,合同库_一般合同,合同摘要,,,,,,,,,,,,,,,,,,,,
合同管理,一般流程,字段模板（主表）,custom_15_e46e1f9b6eb0469987f0656a999cdf09（银行手续费承担方）,Y,,默认各自承担,,无,,默认各自承担,,无,,默认各自承担,,,,,,,,,,,,,,,,,,
合同管理,一般流程,字段模板（主表）,custom_15_e5f7b7cb17b34602adf790f0ac8d69a1（发票种类）,Y,,,合同审批台账_基本信息,发票种类,"增值税专用发票
专用发票
普通发票
INVOICE",,合同库_一般合同,无,,无,,,,,,,,,,,,,,,,,,
合同管理,一般流程,字段模板（主表）,in_amount（收入总额）,Y,,按合同币种,合同审批台账_基本信息,收入金额,,,合同库_一般合同,合同预计收入,,,,,,,,,,,,,,,,,,,,
合同管理,一般流程,字段模板（主表）,custom_15_7b0d0e2f63a148729f929ba985c227c2（收入税率）,Y,,,合同审批台账_基本信息,收入税率,,,合同库_一般合同,无？,,无,,,,,,,,,,,,,,,,,,
合同管理,一般流程,字段模板（主表）,out_amount（支出总额）,Y,,按合同币种,合同审批台账_基本信息,支出金额,,,合同库_一般合同,合同预计支出,,,,,,,,,,,,,,,,,,,,
合同管理,一般流程,字段模板（主表）,custom_15_7b0d0e2f63a148729f929ba985c227c2（支出税率）,Y,,,合同审批台账_基本信息,支出税率,,,合同库_一般合同,无？,,无,,,,,,,,,,,,,,,,,,
合同管理,一般流程,字段模板（主表）,custom_1012_7e2c970e63f648268eaefbd13d6bfc8f（押金/保证金）,,,,合同审批台账_基本信息,押金,,,合同库_一般合同,押金,,,,,,,,,,,,,,,,,,,,
合同管理,一般流程,字段模板（主表）,custom_1012_7e2c970e63f648268eaefbd13d6bfc8f（押金/保证金）,,,,合同审批台账_基本信息,保证金,,,合同库_一般合同,保证金,,,,,,,,,,,,,,,,,,,,
合同管理,一般流程,字段模板（主表）,in_amount（预估收入金额）,,,,合同审批台账_基本信息,收入金额,,,合同库_一般合同,合同预计收入,,,,,,,,,,,,,,,,,,,,
合同管理,一般流程,字段模板（主表）,out_amount（预估支出金额）,,,,合同审批台账_基本信息,支出总额,,,合同库_一般合同,合同预计支出,,,,,,,,,,,,,,,,,,,,
合同管理,一般流程,字段模板（主表）,custom_15_78cf503c57194e4fb8ad03ded1c4ad60（打印模式）,Y,,默认黑白单面打印,,无,,默认黑白单面打印,合同库_一般合同,无,,默认黑白单面打印,,,,,,,,,,,,,,,,,,
合同管理,一般流程,字段模板（主表）,custom_10_9a2a0e99771346c98bfb6cfb893e1bee（签署日期）,Y,,,合同审批台账_基本信息,签订时间,,,合同库_一般合同,签订时间,,,,,,,,,,,,,,,,,,,,
合同管理,一般流程,字段模板（主表）,custom_15_de8944334b104d52b28d9472ab0584ef（专项品类）,,,专项分类要映射为新的专项分类，参考预算项&项目类型底稿 ：原二级分类对应泛微的专项分类字段，二级分类（终版）对应新专项分类，需要将二级分类（终版）的-英文后缀去除,合同审批台账_基本信息,专项分类,,,合同库_一般合同,专项分类,,,,,,,,,,,,,,,,,,,,
合同管理,一般流程,字段模板（主表）,custom_1012_cec7052f613b465980f23f7004e2f82c（采购金额）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
